id;nazwa_wojewodztwa;kod_rynku;kod_branzy;liczba_pracownikow;zrodlo_rejestr;data_rejestracji;data_ostatnie_zamowienie;obecnosc_w_internecie;target_wartosc_sprzedazy
7849;zachodniopomorskie;SZW;1574;6-10 osób;CEIDG;01.12.1993;10.09.2020;ma stronê www;6168
7856;zachodniopomorskie;SZW;755;2-5 osób;CEIDG;01.12.1990;21.09.2018;ma stronê www;600
7857;zachodniopomorskie;SZW;1574;1 osoba;CEIDG;01.05.1991;08.09.2020;ma stronê www;400
7874;zachodniopomorskie;SZW;437;101-250 osób;KRS;01.01.1997;10.01.2020;ma stronê www;2100
7879;zachodniopomorskie;SZW;98;6-10 osób;KRS;01.02.1992;02.04.2020;ma stronê www;1560
7893;zachodniopomorskie;SZW;848;6-10 osób;CEIDG;15.01.2001;16.07.2018;ma stronê www;690
7897;zachodniopomorskie;SZW;10001;2-5 osób;CEIDG;01.12.1996;10.10.2019;nie ma strony www;650
7907;zachodniopomorskie;SZW;755;1 osoba;CEIDG;01.12.1990;15.01.2019;nie ma strony www;1100
7908;zachodniopomorskie;SZW;10001;2-5 osób;CEIDG;01.06.1990;28.03.2019;ma stronê www;3216
7932;zachodniopomorskie;SZW;411;;CEIDG;06.10.2003;01.02.2019;ma stronê www;2000
7943;zachodniopomorskie;SZW;755;;CEIDG;01.12.1985;07.05.2019;nie ma strony www;1920
7954;zachodniopomorskie;SZW;755;1 osoba;CEIDG;28.08.1992;23.06.2020;ma stronê www;1350
7958;zachodniopomorskie;SZW;1574;1 osoba;CEIDG;01.02.1991;23.11.2018;nie ma strony www;500
7963;zachodniopomorskie;SZW;1386;powy¿ej 250 osób;KRS;04.11.1991;27.07.2020;ma stronê www;16200
7970;zachodniopomorskie;SZW;755;1 osoba;CEIDG;01.12.1992;30.07.2018;ma stronê www;2100
7973;zachodniopomorskie;SZW;10001;;CEIDG;06.10.2003;22.09.2020;ma stronê www;2500
7982;zachodniopomorskie;SZW;652;1 osoba;CEIDG;01.12.1991;03.09.2018;nie ma strony www;500
7984;zachodniopomorskie;SZW;907;;CEIDG;06.10.2003;22.02.2019;nie ma strony www;1490
8005;zachodniopomorskie;SZW;10001;2-5 osób;CEIDG;01.02.1998;30.09.2020;ma stronê www;18700
8010;zachodniopomorskie;SZW;755;;CEIDG;01.10.1990;29.11.2019;ma stronê www;320
8013;zachodniopomorskie;SZW;437;2-5 osób;CEIDG;01.12.1993;29.09.2020;e-commerce;900
8017;zachodniopomorskie;SZW;10001;6-10 osób;CEIDG;15.01.2004;23.06.2020;ma stronê www;1450
8029;zachodniopomorskie;SZW;755;;CEIDG;15.01.1991;27.05.2020;nie ma strony www;4700
8030;zachodniopomorskie;SZW;98;101-250 osób;KRS;01.01.1990;25.02.2020;ma stronê www;2500
8035;zachodniopomorskie;SZW;1402;2-5 osób;CEIDG;01.10.1990;21.09.2020;nie ma strony www;500
8047;zachodniopomorskie;SZW;755;;CEIDG;27.08.1992;06.10.2020;ma stronê www;4740
8051;zachodniopomorskie;SZW;5;;CEIDG;01.10.1995;02.03.2020;ma stronê www;600
8053;zachodniopomorskie;SZW;10001;1 osoba;CEIDG;18.03.2001;18.04.2019;ma stronê www;200
8056;zachodniopomorskie;SZW;1574;1 osoba;CEIDG;11.03.1993;28.02.2020;nie ma strony www;300
8060;zachodniopomorskie;SZW;5;1 osoba;CEIDG;01.12.1998;24.09.2020;ma stronê www;6656
8061;zachodniopomorskie;SZW;5;1 osoba;KRS;05.08.1999;27.11.2019;ma stronê www;600
